epochs,col_one_agg,col_two_agg,col_one_loc,col_two_loc,agg_loc,agg_agg
1,0.19639357948303224,0.19639357948303224,0.3491527996063232,0.3498207778930664,0.3495,0.1964
2,0.3274286308288574,0.3274286308288574,0.37441669273376466,0.37842688846588135,0.3764,0.3274
3,0.3866061153411865,0.3866061153411865,0.3648307704925537,0.36178433227539064,0.3633,0.3866
4,0.39460283088684084,0.39460283088684084,0.4037600946426392,0.4005999984741211,0.4022,0.3946
5,0.42358198642730716,0.42358198642730716,0.40898137855529787,0.39289742851257325,0.4009,0.4236
6,0.4124645252227783,0.4124645252227783,0.43988814353942873,0.4231372241973877,0.4315,0.4125
7,0.4385620365142822,0.4385620365142822,0.45121175003051756,0.4356729507446289,0.4434,0.4386
8,0.4502130489349365,0.4502130489349365,0.4468770732879639,0.4372481870651245,0.4421,0.4502
9,0.4505936660766602,0.4505936660766602,0.48009395217895506,0.46739515495300293,0.4737,0.4506
10,0.4877661933898926,0.4877661933898926,0.48908372688293456,0.4591010227203369,0.4741,0.4878
11,0.4850761814117432,0.4850761814117432,0.5098407611846923,0.4838885793685913,0.4969,0.4851
12,0.5177003517150879,0.5177003517150879,0.5168894748687745,0.4975399379730225,0.5072,0.5177
13,0.5236212673187256,0.5236212673187256,0.5107123813629151,0.4773026752471924,0.494,0.5236
14,0.507224250793457,0.507224250793457,0.5241947498321533,0.5562470741271973,0.5402,0.5072
15,0.560437370300293,0.560437370300293,0.5288751258850097,0.5518206596374512,0.5403,0.5604
16,0.5406001167297363,0.5406001167297363,0.5531479396820068,0.6025369157791137,0.5778,0.5406
17,0.6158749904632569,0.6158749904632569,0.5744365882873536,0.5560499095916748,0.5652,0.6159
18,0.6205649185180664,0.6205649185180664,0.6435733852386475,0.5710846939086914,0.6073,0.6206
19,0.6283790664672851,0.6283790664672851,0.6486730060577393,0.6216057605743408,0.6351,0.6284
20,0.6668053035736083,0.6668053035736083,0.5720929069519043,0.6322845191955566,0.6022,0.6668
21,0.6469812107086181,0.6469812107086181,0.6640850048065186,0.6804287109375,0.6723,0.647
22,0.6870937385559082,0.6870937385559082,0.6653131160736084,0.658031322479248,0.6617,0.6871
23,0.6882227821350098,0.6882227821350098,0.649330358505249,0.6563043041229248,0.6528,0.6882
24,0.6865821800231934,0.6865821800231934,0.6444018688201905,0.6774098491668701,0.6609,0.6866
25,0.6734827041625977,0.6734827041625977,0.6715473384857178,0.6598546772003174,0.6657,0.6735
26,0.700228681564331,0.700228681564331,0.7009424819946289,0.6831074066162109,0.692,0.7002
27,0.7199902057647705,0.7199902057647705,0.7159608173370361,0.6580737037658692,0.687,0.72
28,0.7318952827453613,0.7318952827453613,0.6175502414703369,0.6510478096008301,0.6343,0.7319
29,0.6763628444671631,0.6763628444671631,0.7247706050872803,0.6946943092346192,0.7097,0.6764
30,0.7411169357299805,0.7411169357299805,0.721355577468872,0.7168631000518799,0.7191,0.7411
31,0.7497119827270508,0.7497119827270508,0.7183551635742188,0.7073093242645264,0.7128,0.7497
32,0.7449453048706055,0.7449453048706055,0.7352481994628907,0.7328248119354248,0.734,0.7449
33,0.760454833984375,0.760454833984375,0.7477725982666016,0.7314223232269287,0.7396,0.7605
34,0.7619993743896485,0.7619993743896485,0.6923742198944092,0.7482898864746094,0.7203,0.762
35,0.7644031295776367,0.7644031295776367,0.7312685699462891,0.7201002445220948,0.7257,0.7644
36,0.7608468723297119,0.7608468723297119,0.7559142379760743,0.7032046566009521,0.7296,0.7608
37,0.7754538612365722,0.7754538612365722,0.7033060111999512,0.7554050025939941,0.7294,0.7755
38,0.7560790367126465,0.7560790367126465,0.7394106941223144,0.7234989681243896,0.7315,0.7561
39,0.7539989986419677,0.7539989986419677,0.7214210186004638,0.7405791301727295,0.731,0.754
40,0.7620478172302246,0.7620478172302246,0.7019335193634033,0.7212264213562012,0.7116,0.762
